bvp,time,sensor,phase,eda,temp,PPG GREEN
-30.7,1549375737.375,empatica_bvp,baseline,,,
-39.07,1549375737.390625,empatica_bvp,baseline,,,
-48.56,1549375737.40625,empatica_bvp,baseline,,,
-58.3,1549375737.421875,empatica_bvp,baseline,,,
-66.86,1549375737.4375,empatica_bvp,baseline,,,
-72.58,1549375737.453125,empatica_bvp,baseline,,,
-73.95,1549375737.46875,empatica_bvp,baseline,,,
-70.13,1549375737.484375,empatica_bvp,baseline,,,
-61.21,1549375737.5,empatica_bvp,baseline,,,
-48.25,1549375737.515625,empatica_bvp,baseline,,,
-33.01,1549375737.53125,empatica_bvp,baseline,,,
-17.5,1549375737.546875,empatica_bvp,baseline,,,
-3.47,1549375737.5625,empatica_bvp,baseline,,,
